,trailingEps,forwardEps,enterpriseToRevenue,ebitda,returnOnAssets,returnOnEquity,debtToEquity,heldPercentInstitutions,priceToBook,enterpriseValue,marketCap,operatingCashflow,averageVolume,trailingPE,forwardPE,HistoricalReturn,HistoricalReturnRisk,PricePerShare
ATL.AX,-0.43,0.05,1.467,12316000.0,0.0072000003,-0.12765001,703.092,0.1188,4.0392156,390046656.0,191735536.0,30578000.0,314216.0,-2.395348770673885,20.59999942779541,0.04539316961319862,0.6009994616900622,1.0299999713897705
APX.AX,0.408,0.47,0.679,51993000.0,0.0298,0.033350002,3.548,0.2627,0.6547469,294550464.0,319994976.0,44920000.0,910293.0,6.372548785864138,5.531914690707593,0.8391887767549422,0.9583126562858316,2.5999999046325684
ARB.AX,1.075,1.42,3.264,182206000.0,0.15378,0.23437001,6.849,0.38205,5.2781954,2275652096.0,2293450752.0,84612000.0,278851.0,26.12093016158703,19.774647833595814,0.2559818762899621,0.31996792574190036,28.079999923706055
ALG.AX,-0.412,0.03,5.408,14640000.0,-0.019170001,-0.52685,71.793,0.49502,1.7801857,267481952.0,275830944.0,167836000.0,1671192.0,-1.3956310390268716,19.166666269302368,0.13474164371450426,0.4290087762656366,0.574999988079071
ARF.AX,0.295,0.18,21.298,,0.03519,0.32647,27.649,0.39331,2.0285423,1756673920.0,5501952000.0,58096000.0,664560.0,13.491525488384701,22.111111217074924,0.35072029496243007,0.22115721065237287,3.9800000190734863
AGY.AX,-0.003,,6666.377,-1723881.0,-0.01615,0.06935,0.036,0.014359999,32.0,730154944.0,810579200.0,-2333391.0,8669601.0,,,1.9040951652886364,3.721817867725088,0.6399999856948853
ALL.AX,2.16,1.93,4.605,1581500032.0,0.09887,0.22838,51.709,0.37574002,7.1709075,24187662336.0,23965806592.0,1477100032.0,1536410.0,16.569444868299694,18.544041925143702,0.39773457387907485,0.28426519037248005,35.790000915527344
ARQ.AX,,,,,,,,,,,,,,,,,,
AHY.AX,,,,,,,,,,,,,,,,,,
ASX.AX,2.532,2.67,6.696,758899968.0,0.026700001,0.13485,1.776,0.47491002,3.70935,7249998336.0,13801388032.0,203400000.0,576773.0,28.1556085764326,26.70037487472934,0.217635997233184,0.13453515386807163,71.29000091552734
ALX.AX,-0.017,0.38,66.164,43124000.0,-0.0025499999,0.069460005,48.438,0.3802,1.8164794,7401390592.0,6511732224.0,57394000.0,5340719.0,-399.41176246194277,17.868420952244808,0.2455369078909734,0.2358137937114074,6.789999961853027
AUB.AX,0.738,1.04,4.817,102402000.0,0.040700004,0.12517,7.492,0.48414,3.9393418,1794764288.0,1702135168.0,95535000.0,306966.0,30.975610583132198,21.980769817645733,0.23285264035372316,0.25791298162757115,22.860000610351562
AIA.AX,0.05,0.12,38.9,151100000.0,0.00238,0.023829998,18.319,0.1884,1.6210852,11335495680.0,10823976960.0,101200000.0,720118.0,146.99999809265137,61.24999920527141,0.18776027078682264,0.20585937221772282,7.349999904632568
AD8.AX,-0.079,0.0,13.221,-3627000.0,-0.02678,-0.05783,2.613,0.18410999,7.734597,612024832.0,627880960.0,981000.0,120295.0,-103.29113730901405,inf,0.48090187123924144,0.4921866434890016,8.15999984741211
AKP.AX,-0.425,,2682.936,-5932451.0,-0.85941005,-3.5174398,,0.0,69.65174,342090464.0,401781792.0,-4855190.0,4546.0,,,0.2601578805226933,0.630213406884135,14.0
AMI.AX,0.037,0.07,0.239,127135000.0,-0.12902,-0.21547002,13.501,0.3805,0.34375,104872208.0,136076592.0,154092992.0,8234281.0,2.9729729568636096,1.571428562913622,0.31252127798282975,0.8449700790526024,0.10999999940395355
AZJ.AX,0.281,0.28,3.231,1425299968.0,0.05629,0.11811,80.323,0.45194998,1.669675,9937826816.0,6810590208.0,1320099968.0,5608171.0,13.167259956169806,13.214285884584697,0.1217237946191255,0.18238628941507334,3.700000047683716
AC8.AX,-0.026,,5.841,-3107987.0,-0.09635,-0.79710996,0.22,0.16429001,0.42105263,11903116.0,17621880.0,-2831014.0,24604.0,,,6.757894543009481,20.865668620304703,
AST.AX,,,,,,,,,,,,,,,,,,
ASB.AX,0.279,0.18,0.609,148540992.0,0.04502,0.0937,25.33,0.37647,1.2300798,870675840.0,893789248.0,37499000.0,713073.0,8.853046697527704,13.722222381167942,0.18600972354504305,0.45398758885067775,2.4700000286102295
ANZ.AX,1.18,2.27,0.017,,0.0069199996,0.10976,,0.25869,1.141337,325865088.0,69545959424.0,-28703000576.0,6792698.0,20.906779725672838,10.867841443301298,0.14241074242296659,0.1683941265230627,24.670000076293945
AAC.AX,0.073,0.11,5.297,-168716000.0,-0.0627,0.11377,29.7,0.07083,1.1360677,1462310144.0,1051828352.0,24248000.0,444869.0,23.904109654361257,15.863636406985195,0.03593557495728214,0.19399486462189178,1.7450000047683716
AEF.AX,0.09,,7.024,16847000.0,0.25147,0.38944,3.381,0.09696,23.802084,497171072.0,513608608.0,16162000.0,144141.0,,,-0.5598855810945925,2.282675527728536,4.570000171661377
AFG.AX,0.179,0.24,5.778,,0.00715,0.19447,2421.727,0.19067,2.5949366,5360955392.0,496543008.0,51903000.0,384752.0,10.307262729666087,7.6875001192092896,0.3175071075180856,0.4699320668937176,1.8450000286102295
AUZ.AX,-0.001,,,-5600000.0,-0.0911,-0.14965999,0.442,0.00452,6.9,27122114.0,29694564.0,-3845000.0,561857.0,,,1.4042597368673766,4.788273070258458,
API.AX,,,,,,,,,,,,,,,,,,
AOF.AX,0.063,0.12,7.908,,0.031600002,-0.11847,45.65,0.47267,0.5280289,384132064.0,239999200.0,29242000.0,55986.0,23.174603780110676,12.166666984558105,0.154392840886871,0.17634738367637123,1.4600000381469727
AVG.AX,0.065,0.09,1.104,32989000.0,0.03233,0.05659,41.813,0.35123003,0.599268,287046016.0,165477888.0,15351000.0,48997.0,10.0769226367657,7.277777459886339,0.15735358137021624,0.22355809477200062,0.6549999713897705
ATS.AX,-0.165,,2.019,3335000.0,0.0047400002,0.00597,23.54,0.22271,0.6166667,50763908.0,45823020.0,4321000.0,852002.0,,,-0.1565754396538064,0.3434589588662883,0.03700000047683716
ABA.AX,0.488,0.42,4.789,,0.00603,0.097040005,,0.07119,0.95083654,455626240.0,241271792.0,-224983008.0,33595.0,11.413934777994625,13.261905170622327,0.12964431611465393,0.11073458006908425,5.570000171661377
ASG.AX,-0.181,0.24,0.482,113389000.0,0.05098,0.12524,128.844,0.21836,1.0153061,904265024.0,399990016.0,135034000.0,73488.0,-10.994475190810736,8.291666706403097,0.1151634250053219,0.4308318496880341,1.9900000095367432
AVN.AX,,,,,,,,,,,,,,,,,,
AVH.AX,-0.528,0.0,4.378,-33299000.0,,,1.391,0.0691,3.811252,108206624.0,261714592.0,-11343000.0,226909.0,-3.9772725466525913,inf,0.6057341965142303,2.283347009687149,2.0999999046325684
AVJ.AX,0.014,0.09,1.211,15508000.0,0.0141199995,0.03201,28.283,0.01809,0.41709054,269769440.0,166252944.0,33108000.0,56525.0,29.285714030265808,4.555555515819126,0.22581571124491376,0.2618314995920432,0.4099999964237213
AVZ.AX,-0.002,,,-21682588.0,-0.09257,-0.13758,0.654,0.07002,26.896551,2708458496.0,2684463360.0,-8093594.0,0.0,,,2.2988235464192317,4.998930269792761,
BBN.AX,0.09,0.27,1.067,40948000.0,0.06782,0.17682,147.469,0.39418,3.5182676,541068544.0,344302400.0,52365000.0,463783.0,28.88888782925076,9.62962927641692,0.26728903864297426,0.2951124339101586,2.5999999046325684
BOQ.AX,0.353,0.72,13.777,,0.00445,0.066139996,,0.20502001,0.7561126,22841683968.0,4708641280.0,-6358000128.0,2451690.0,20.849858735168286,10.222222407658895,0.15581267147467387,0.27951208290503377,7.360000133514404
BAP.AX,0.315,0.42,1.48,221338000.0,0.06553,0.117589995,54.906,0.56036997,2.278354,2726927360.0,2311402496.0,104823000.0,873030.0,21.61904743739537,16.21428557804653,0.2608940973620878,0.32456960248106254,6.809999942779541
BSE.AX,0.027,0.06,0.857,160796992.0,0.18648,0.24706,,0.75802004,0.7773852,239102096.0,259162192.0,78284000.0,1423969.0,8.14814810399656,3.666666646798452,0.43410813358798245,1.1472987250443405,0.2199999988079071
BRL.AX,-0.319,0.23,4.298,-5572000.0,-0.025050001,0.18937,0.397,0.27275,1.9497607,170140608.0,139325872.0,8029000.0,60695.0,-2.554858926695342,3.54347825050354,0.3845648431844916,1.5830750828711575,0.8149999976158142
BPT.AX,0.154,0.19,1.977,1078800000.0,0.09189,0.15112,3.398,0.1824,1.3328137,3501464320.0,3901074176.0,1223200000.0,8075701.0,11.10389635160372,9.00000020077354,0.1086338572235261,0.47697270704677225,1.7100000381469727
BLX.AX,0.143,0.12,1.738,68767000.0,0.12973,0.33066002,107.37,0.060289998,4.352442,530227200.0,457808032.0,52409000.0,76510.0,14.335664002211779,17.083332935969036,0.2625880750714571,0.38403025751277237,2.049999952316284
